Date,Natural Gas Price,Crude Oil Price,US Dollar Index,GDP,Natural Gas Production,Net Imports,Natural Gas Consumption,US total natural gas proved reserves (trillion cubic feet)
1995-01-01,1.354,18.39,87.99,7455.288,15.60033,2.08822,15.1435,173.476
1995-02-01,1.483,18.49,85.93,7455.288,16.03862,2.06435,17.48263,173.476
1995-03-01,1.685,19.17,81.9,7455.288,16.63964,2.27778,21.19285,173.476
1995-04-01,1.662,20.38,81.8,7522.289,15.98615,2.397,24.32305,173.476
1995-05-01,1.718,18.89,82.57,7522.289,14.257919999999999,2.22862,22.30289,173.476
1995-06-01,1.53,17.4,81.58,7522.289,15.82455,2.35719,21.433310000000002,173.476
1995-07-01,1.614,17.56,81.57,7580.997,15.29508,2.19606,18.20872,173.476
1995-08-01,1.748,17.84,85.57,7580.997,15.719610000000001,2.15782,16.16918,173.476
1995-09-01,1.75,17.54,84.29,7580.997,15.13139,2.0185,14.58521,173.476
1995-10-01,1.866,17.64,83.66,7683.125,15.63176,2.081,15.9174,173.476
1995-11-01,2.018,18.18,85.26,7683.125,15.52439,2.2337100000000003,16.61055,173.476
1995-12-01,2.619,19.55,84.76,7683.125,15.07287,2.16338,14.616060000000001,173.476
1996-01-01,2.658,17.74,87.38,7772.586,15.35318,2.23752,15.30314,173.476
1996-02-01,2.236,19.54,86.29,7772.586,15.79876,2.23666,19.17002,175.147
1996-03-01,2.336,21.47,86.52,7772.586,16.39114,2.56183,23.42935,175.147
1996-04-01,2.224,21.2,88.02,7868.468,15.88858,2.49429,26.02488,175.147
1996-05-01,2.406,19.76,87.78,7868.468,15.0144,2.20929,23.54467,175.147
1996-06-01,2.911,20.92,87.82,7868.468,15.901060000000001,2.26408,22.343220000000002,175.147
1996-07-01,2.163,20.42,85.9,8032.84,15.67196,2.26849,18.584,175.147
1996-08-01,1.859,22.25,86.36,8032.84,15.95501,2.43699,16.43912,175.147
1996-09-01,2.214,24.38,87.94,8032.84,15.526440000000001,2.14448,15.34687,175.147
1996-10-01,2.728,23.35,87.43,8131.408,15.898040000000002,2.22478,15.380250000000002,175.147
1996-11-01,3.497,23.75,87.92,8131.408,15.946060000000001,2.2082200000000003,15.69787,175.147
1996-12-01,2.757,25.92,88.18,8131.408,15.39452,2.26934,14.75066,175.147
1997-01-01,2.385,24.15,93.04,8259.771,15.76934,2.3563,15.8536,175.147
